episode,score,total_score,eval_score
330,15.00,4136.00,115.49
331,10.00,4146.00,115.49
332,10.00,4156.00,115.50
333,11.00,4167.00,115.50
334,14.00,4181.00,115.50
335,10.00,4191.00,115.50
336,9.00,4200.00,115.51
337,9.00,4209.00,115.51
338,12.00,4221.00,115.51
339,12.00,4233.00,115.51
340,14.00,4247.00,115.52
341,13.00,4260.00,115.52
342,13.00,4273.00,115.52
343,8.00,4281.00,115.52
344,13.00,4294.00,115.53
345,10.00,4304.00,115.53
346,15.00,4319.00,115.53
347,12.00,4331.00,115.53
348,17.00,4348.00,115.54
349,17.00,4365.00,115.54
350,12.00,4377.00,115.54
351,15.00,4392.00,115.55
352,24.00,4416.00,115.55
353,13.00,4429.00,115.55
354,15.00,4444.00,115.56
355,18.00,4462.00,115.56
356,19.00,4481.00,115.56
357,21.00,4502.00,115.57
358,12.00,4514.00,115.57
359,25.00,4539.00,115.58
360,14.00,4553.00,115.58
361,24.00,4577.00,115.58
362,100.00,4677.00,115.60
363,12.00,4689.00,115.61
364,12.00,4701.00,115.61
365,15.00,4716.00,115.61
366,12.00,4728.00,115.61
367,12.00,4740.00,115.62
368,13.00,4753.00,115.62
369,26.00,4779.00,115.63
370,13.00,4792.00,115.63
371,10.00,4802.00,115.63
372,11.00,4813.00,115.63
373,10.00,4823.00,115.63
374,11.00,4834.00,115.64
375,11.00,4845.00,115.64
376,16.00,4861.00,115.64
377,9.00,4870.00,115.64
378,10.00,4880.00,115.65
379,26.00,4906.00,115.65
380,12.00,4918.00,115.65
381,11.00,4929.00,115.66
382,10.00,4939.00,115.66
383,10.00,4949.00,115.66
384,12.00,4961.00,115.66
385,10.00,4971.00,115.67
386,11.00,4982.00,115.67
387,15.00,4997.00,115.67
388,9.00,5006.00,115.67
389,12.00,5018.00,115.67
390,9.00,5027.00,115.68
391,16.00,5043.00,115.68
392,12.00,5055.00,115.68
393,11.00,5066.00,115.68
394,13.00,5079.00,115.69
395,13.00,5092.00,115.69
396,11.00,5103.00,115.69
397,10.00,5113.00,115.69
398,12.00,5125.00,115.70
399,13.00,5138.00,115.70
400,8.00,5146.00,115.70
401,10.00,5156.00,115.70
402,9.00,5165.00,115.71
403,12.00,5177.00,115.71
404,11.00,5188.00,115.71
405,11.00,5199.00,115.71
406,12.00,5211.00,115.71
407,11.00,5222.00,115.72
408,11.00,5233.00,115.72
409,10.00,5243.00,115.72
410,12.00,5255.00,115.72
411,22.00,5277.00,115.73
412,13.00,5290.00,115.73
413,24.00,5314.00,115.74
414,27.00,5341.00,115.74
415,33.00,5374.00,115.75
416,29.00,5403.00,115.75
417,89.00,5492.00,115.77
418,29.00,5521.00,115.78
419,35.00,5556.00,115.79
420,29.00,5585.00,115.79
421,23.00,5608.00,115.80
422,40.00,5648.00,115.81
423,29.00,5677.00,115.81
424,22.00,5699.00,115.82
425,23.00,5722.00,115.82
426,39.00,5761.00,115.83
427,38.00,5799.00,115.84
428,26.00,5825.00,115.84
429,33.00,5858.00,115.85
430,47.00,5905.00,115.86
431,38.00,5943.00,115.87
432,21.00,5964.00,115.87
433,26.00,5990.00,115.88
434,27.00,6017.00,115.88
435,29.00,6046.00,115.89
436,36.00,6082.00,115.90
437,22.00,6104.00,115.90
438,79.00,6183.00,115.92
439,37.00,6220.00,115.92
440,28.00,6248.00,115.93
441,46.00,6294.00,115.94
