episode,score,total_score,eval_score,d2qn_score,d2qn_total_score,d2qn_eval_score
465,78,9809,116.67,27,5947,115.87
466,74,9883,116.68,27,5974,115.87
467,54,9937,116.69,30,6004,115.88
468,82,10019,116.71,63,6067,115.89
469,73,10092,116.72,20,6087,115.9
470,71,10163,116.74,20,6107,115.9
471,50,10213,116.75,16,6123,115.9
472,64,10277,116.76,29,6152,115.91
473,50,10327,116.77,23,6175,115.91
474,45,10372,116.78,22,6197,115.92
475,53,10425,116.79,28,6225,115.92
476,58,10483,116.81,15,6240,115.93
477,29,10512,116.81,17,6257,115.93
478,31,10543,116.82,16,6273,115.93
479,34,10577,116.82,13,6286,115.94
480,27,10604,116.83,18,6304,115.94
481,28,10632,116.84,19,6323,115.94
482,30,10662,116.84,16,6339,115.95
483,35,10697,116.85,14,6353,115.95
484,38,10735,116.86,17,6370,115.95
485,29,10764,116.86,15,6385,115.96
486,34,10798,116.87,26,6411,115.96
487,36,10834,116.88,23,6434,115.97
488,27,10861,116.88,24,6458,115.97
489,32,10893,116.89,23,6481,115.98
490,27,10920,116.9,19,6500,115.98
491,31,10951,116.9,25,6525,115.99
492,34,10985,116.91,23,6548,115.99
493,25,11010,116.91,23,6571,116
494,44,11054,116.92,22,6593,116
495,42,11096,116.93,16,6609,116
496,64,11160,116.95,12,6621,116.01
497,53,11213,116.96,21,6642,116.01
498,86,11299,116.97,26,6668,116.02
499,105,11404,117,28,6696,116.02
500,38,11442,117,25,6721,116.03
501,42,11484,117.01,18,6739,116.03
502,55,11539,117.02,25,6764,116.04
503,53,11592,117.03,26,6790,116.04
504,34,11626,117.04,36,6826,116.05
505,52,11678,117.05,73,6899,116.06
506,32,11710,117.06,31,6930,116.07
507,55,11765,117.07,72,7002,116.09
508,52,11817,117.08,61,7063,116.1
509,48,11865,117.09,73,7136,116.11
510,46,11911,117.1,39,7175,116.12
511,34,11945,117.11,74,7249,116.14
512,46,11991,117.12,136,7385,116.16
513,31,12022,117.12,32,7417,116.17
514,39,12061,117.13,24,7441,116.18
515,21,12082,117.14,33,7474,116.18
516,24,12106,117.14,37,7511,116.19
517,41,12147,117.15,26,7537,116.2
518,42,12189,117.16,32,7569,116.2
519,26,12215,117.16,30,7599,116.21
520,40,12255,117.17,24,7623,116.21
521,26,12281,117.18,28,7651,116.22
522,28,12309,117.18,41,7692,116.23
523,37,12346,117.19,63,7755,116.24
524,24,12370,117.2,51,7806,116.25
525,97,12467,117.22,53,7859,116.26
526,158,12625,117.25,27,7886,116.27
527,184,12809,117.29,19,7905,116.27
528,179,12988,117.32,23,7928,116.28
529,176,13164,117.36,45,7973,116.29
530,177,13341,117.4,69,8042,116.3
531,183,13524,117.43,226,8268,116.35
532,30,13554,117.44,114,8382,116.37
533,25,13579,117.45,63,8445,116.38
534,35,13614,117.45,62,8507,116.4
535,27,13641,117.46,77,8584,116.41
536,148,13789,117.49,40,8624,116.42
537,108,13897,117.51,51,8675,116.43
538,151,14048,117.54,88,8763,116.45
539,88,14136,117.56,122,8885,116.47
540,166,14302,117.6,76,8961,116.49
541,452,14754,117.69,66,9027,116.5
542,232,14986,117.74,56,9083,116.52
543,204,15190,117.78,84,9167,116.53
544,257,15447,117.83,93,9260,116.55
545,250,15697,117.88,37,9297,116.56
546,211,15908,117.93,73,9370,116.58
547,197,16105,117.97,67,9437,116.59
548,202,16307,118.01,66,9503,116.6
549,180,16487,118.05,63,9566,116.62
550,426,16913,118.14,73,9639,116.63
551,500,17413,118.24,63,9702,116.64
552,500,17913,118.34,27,9729,116.65
553,500,18413,118.45,40,9769,116.66
554,236,18649,118.49,40,9809,116.67
555,81,18730,118.51,35,9844,116.67
556,48,18778,118.52,28,9872,116.68
557,14,18792,118.52,54,9926,116.69
558,12,18804,118.53,69,9995,116.7
559,9,18813,118.53,39,10034,116.71
560,9,18822,118.53,67,10101,116.73
561,13,18835,118.53,207,10308,116.77
562,14,18849,118.54,66,10374,116.78
563,9,18858,118.54,49,10423,116.79
564,9,18867,118.54,61,10484,116.81
565,9,18876,118.54,83,10567,116.82
566,11,18887,118.54,36,10603,116.83
567,10,18897,118.55,32,10635,116.84
568,9,18906,118.55,50,10685,116.85
569,11,18917,118.55,48,10733,116.86
570,13,18930,118.55,43,10776,116.87
571,160,19090,118.59,54,10830,116.88
572,107,19197,118.61,65,10895,116.89
573,117,19314,118.63,37,10932,116.9
574,101,19415,118.65,50,10982,116.91
575,103,19518,118.67,34,11016,116.92
576,110,19628,118.7,50,11066,116.93
577,103,19731,118.72,53,11119,116.94
578,39,19770,118.73,36,11155,116.94
579,104,19874,118.75,116,11271,116.97
580,97,19971,118.77,52,11323,116.98
581,101,20072,118.79,82,11405,117
582,111,20183,118.81,122,11527,117.02
583,117,20300,118.84,127,11654,117.05
584,114,20414,118.86,77,11731,117.06
585,110,20524,118.88,58,11789,117.08
586,29,20553,118.89,58,11847,117.09
587,105,20658,118.91,43,11890,117.1
588,111,20769,118.93,57,11947,117.11
589,109,20878,118.96,68,12015,117.12
590,124,21002,118.98,126,12141,117.15
591,108,21110,119,149,12290,117.18
592,161,21271,119.04,87,12377,117.2
593,142,21413,119.07,117,12494,117.22
594,133,21546,119.09,139,12633,117.25
595,126,21672,119.12,74,12707,117.27
596,135,21807,119.15,182,12889,117.3
597,115,21922,119.17,163,13052,117.34
598,107,22029,119.19,468,13520,117.43
599,134,22163,119.22,61,13581,117.45
600,151,22314,119.25,119,13700,117.47
601,146,22460,119.28,166,13866,117.51
602,345,22805,119.35,142,14008,117.53
603,500,23305,119.46,107,14115,117.56
604,194,23499,119.5,88,14203,117.58
605,265,23764,119.55,114,14317,117.6
606,139,23903,119.58,164,14481,117.63
607,138,24041,119.61,197,14678,117.67
608,136,24177,119.64,171,14849,117.71
609,122,24299,119.66,208,15057,117.75
610,70,24369,119.68,176,15233,117.79
611,49,24418,119.69,217,15450,117.83
612,40,24458,119.7,159,15609,117.87
613,23,24481,119.7,193,15802,117.91
614,21,24502,119.71,196,15998,117.95
615,27,24529,119.71,181,16179,117.98
616,30,24559,119.72,153,16332,118.02
617,44,24603,119.73,112,16444,118.04
618,23,24626,119.73,125,16569,118.06
619,22,24648,119.74,134,16703,118.09
620,29,24677,119.74,135,16838,118.12
621,27,24704,119.75,147,16985,118.15
622,35,24739,119.75,202,17187,118.19
623,93,24832,119.77,195,17382,118.23
624,91,24923,119.79,168,17550,118.27
625,128,25051,119.82,142,17692,118.3
626,145,25196,119.85,127,17819,118.32
627,260,25456,119.9,148,17967,118.35
628,159,25615,119.94,156,18123,118.39
629,303,25918,120,182,18305,118.42
630,144,26062,120.03,171,18476,118.46
631,67,26129,120.04,150,18626,118.49
632,95,26224,120.06,315,18941,118.56
633,111,26335,120.09,161,19102,118.59
634,85,26420,120.1,460,19562,118.68
635,70,26490,120.12,287,19849,118.74
636,44,26534,120.13,182,20031,118.78
637,42,26576,120.13,212,20243,118.82
638,58,26634,120.15,158,20401,118.86
639,114,26748,120.17,134,20535,118.89
640,124,26872,120.2,147,20682,118.92
641,91,26963,120.21,121,20803,118.94
642,175,27138,120.25,116,20919,118.96
643,170,27308,120.29,141,21060,118.99
