episode,score,total_score,eval_score
305,13.00,4235.00,115.51
306,9.00,4244.00,115.51
307,10.00,4254.00,115.52
308,8.00,4262.00,115.52
309,10.00,4272.00,115.52
310,9.00,4281.00,115.52
311,12.00,4293.00,115.52
312,11.00,4304.00,115.53
313,11.00,4315.00,115.53
314,13.00,4328.00,115.53
315,10.00,4338.00,115.53
316,12.00,4350.00,115.54
317,8.00,4358.00,115.54
318,11.00,4369.00,115.54
319,11.00,4380.00,115.54
320,14.00,4394.00,115.55
321,11.00,4405.00,115.55
322,12.00,4417.00,115.55
323,13.00,4430.00,115.55
324,11.00,4441.00,115.56
325,10.00,4451.00,115.56
326,9.00,4460.00,115.56
327,11.00,4471.00,115.56
328,9.00,4480.00,115.56
329,12.00,4492.00,115.57
330,10.00,4502.00,115.57
331,12.00,4514.00,115.57
332,12.00,4526.00,115.57
333,9.00,4535.00,115.58
334,10.00,4545.00,115.58
335,11.00,4556.00,115.58
336,12.00,4568.00,115.58
337,12.00,4580.00,115.58
338,9.00,4589.00,115.59
339,9.00,4598.00,115.59
340,14.00,4612.00,115.59
341,20.00,4632.00,115.60
342,28.00,4660.00,115.60
343,38.00,4698.00,115.61
344,48.00,4746.00,115.62
345,36.00,4782.00,115.63
346,21.00,4803.00,115.63
347,22.00,4825.00,115.64
348,21.00,4846.00,115.64
349,15.00,4861.00,115.64
350,16.00,4877.00,115.65
351,15.00,4892.00,115.65
352,19.00,4911.00,115.65
353,19.00,4930.00,115.66
354,16.00,4946.00,115.66
355,15.00,4961.00,115.66
356,17.00,4978.00,115.67
357,15.00,4993.00,115.67
358,17.00,5010.00,115.67
359,22.00,5032.00,115.68
360,13.00,5045.00,115.68
361,13.00,5058.00,115.68
362,18.00,5076.00,115.69
363,19.00,5095.00,115.69
364,14.00,5109.00,115.69
365,16.00,5125.00,115.70
366,16.00,5141.00,115.70
367,14.00,5155.00,115.70
368,16.00,5171.00,115.71
369,14.00,5185.00,115.71
370,12.00,5197.00,115.71
371,16.00,5213.00,115.72
372,12.00,5225.00,115.72
373,17.00,5242.00,115.72
374,14.00,5256.00,115.72
375,13.00,5269.00,115.73
376,13.00,5282.00,115.73
377,22.00,5304.00,115.73
378,11.00,5315.00,115.74
379,13.00,5328.00,115.74
380,12.00,5340.00,115.74
381,11.00,5351.00,115.74
382,12.00,5363.00,115.75
383,17.00,5380.00,115.75
384,10.00,5390.00,115.75
385,12.00,5402.00,115.75
386,13.00,5415.00,115.76
387,11.00,5426.00,115.76
388,15.00,5441.00,115.76
389,12.00,5453.00,115.76
390,12.00,5465.00,115.77
391,16.00,5481.00,115.77
392,15.00,5496.00,115.77
393,12.00,5508.00,115.78
